City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
503977,Pushkino,47,RU,1601532566,66,56.02,37.87,50.0,8.95
2180815,Tuatapere,69,NZ,1601532566,61,-46.13,167.68,59.0,3.0
2449938,Ténenkou,31,ML,1601532567,62,14.46,-4.92,83.1,8.16
5072006,Lincoln,1,US,1601532567,52,40.8,-96.67,50.0,11.25
1726449,Basco,47,PH,1601532568,76,20.45,121.97,80.47,19.89
779622,Havøysund,75,NO,1601532568,87,71.0,24.66,50.0,10.29
1895695,Kushima,20,JP,1601532568,54,31.46,131.23,78.8,10.29
1519924,Kushmurun,5,KZ,1601532569,50,52.45,64.63,53.62,5.44
2015306,Tiksi,57,RU,1601532569,93,71.69,128.87,27.39,21.03
2409914,Bonthe,99,SL,1601532570,89,7.53,-12.51,75.61,1.88
3447597,Sidrolândia,35,BR,1601532570,34,-20.93,-54.96,82.4,6.93
1861416,Ishigaki,20,JP,1601532571,62,24.34,124.16,84.2,18.34
2122090,Pevek,0,RU,1601532571,81,69.7,170.31,36.82,3.91
752627,Akçaabat,75,TR,1601532571,78,41.02,39.57,71.6,6.93
203717,Yangambi,100,CD,1601532572,97,0.81,24.43,71.64,0.76
2112309,Katsuura,100,JP,1601532549,64,35.13,140.3,73.99,5.01
6144312,Sept-Îles,75,CA,1601532572,81,50.2,-66.38,50.0,12.75
1835848,Seoul,75,KR,1601532515,57,37.57,126.98,75.2,3.36
3451263,Rio Bananal,48,BR,1601532573,87,-19.27,-40.33,72.46,3.56
2450173,Taoudenni,0,ML,1601532573,12,22.68,-3.98,89.65,4.83
5861897,Fairbanks,1,US,1601532574,47,64.84,-147.72,55.4,4.7
3141667,Roald,55,NO,1601532575,67,62.58,6.13,57.2,9.17
5746545,Portland,75,US,1601532301,82,45.52,-122.68,66.99,5.82
359792,Aswān,0,EG,1601532575,15,24.09,32.91,92.55,9.04
1633419,Padang,79,ID,1601532576,74,-0.95,100.35,82.85,4.85
2092164,Lorengau,99,PG,1601532576,74,-2.02,147.27,83.79,2.64
3421982,Maniitsoq,0,GL,1601532577,81,65.42,-52.9,29.41,8.14
912628,Kasempa,58,ZM,1601532577,30,-13.46,25.83,76.91,13.33
5855927,Hilo,1,US,1601532448,78,19.73,-155.09,78.8,3.36
2017155,Saskylakh,78,RU,1601532578,96,71.92,114.08,27.0,4.68
4033375,Tevaitoa,12,PF,1601532578,76,-16.78,-151.5,79.83,25.61
3985168,San Patricio,94,MX,1601532579,81,19.22,-104.7,78.04,3.33
3655131,La Libertad,93,EC,1601532579,85,-2.23,-80.9,67.19,9.22
1529484,Kumul,0,CN,1601532580,24,42.8,93.45,62.64,9.4
583673,Aksay,20,RU,1601532539,50,47.26,39.87,57.2,24.61
4993659,Garden City,40,US,1601532580,81,42.33,-83.33,51.8,9.17
1054463,Tsiroanomandidy,10,MG,1601532581,29,-18.77,46.03,88.92,2.06
5851349,Nānākuli,1,US,1601532581,65,21.39,-158.15,82.4,4.7
2013279,Vostok,100,RU,1601532581,66,46.49,135.88,53.11,2.93
2729907,Longyearbyen,75,SJ,1601532582,90,78.22,15.64,35.6,2.24
1524889,Chardara,0,KZ,1601532583,41,41.25,67.97,65.55,4.07
964420,Port Elizabeth,75,ZA,1601532583,87,-33.92,25.57,59.0,11.41
5380420,Pacifica,1,US,1601532583,59,37.61,-122.49,66.99,5.82
3899539,Antofagasta,75,CL,1601532524,82,-23.65,-70.4,57.2,4.7
6537550,Giovinazzo,0,IT,1601532584,93,41.19,16.67,59.0,4.7
3421719,Narsaq,97,GL,1601532584,46,60.92,-46.05,28.4,6.64
3466704,Castro,42,BR,1601532498,92,-24.79,-50.01,63.63,6.44
6089245,Norman Wells,20,CA,1601532585,61,65.28,-126.83,50.0,11.41
1855612,Nara,40,JP,1601532585,39,34.69,135.8,80.6,9.17
2377457,Nouadhibou,85,MR,1601532586,73,20.93,-17.03,75.43,16.73
3457152,Minas Novas,0,BR,1601532586,81,-17.22,-42.59,66.65,1.79
2618795,Klaksvík,100,FO,1601532367,93,62.23,-6.59,41.0,9.78
2638187,Sevenoaks,75,GB,1601532587,100,51.27,0.19,54.0,9.17
